Timestamp,SourceIP,DestinationIP,Protocol,PacketLength,InfoPacket,Signature
2023-11-24 09:55:27.510289,172.16.1.135,172.16.1.134,smb2,138,172.16.1.135:445 -> 172.16.1.134:41999 smb2 Length=138,172.16.1.135_172.16.1.134/smb2/Detect
2023-11-24 09:55:27.520422,172.16.1.134,172.16.1.135,tcp,66,172.16.1.134:41999 -> 172.16.1.135:445 tcp Length=66,172.16.1.134_172.16.1.135/tcp/Non-Detect
2023-11-24 09:55:27.522386,172.16.1.134,172.16.1.135,tcp,74,172.16.1.134:33887 -> 172.16.1.135:445 tcp Length=74,172.16.1.134_172.16.1.135/tcp/Non-Detect
2023-11-24 09:55:27.524526,172.16.1.135,172.16.1.134,tcp,74,172.16.1.135:445 -> 172.16.1.134:33887 tcp Length=74,172.16.1.135_172.16.1.134/tcp/Non-Detect
2023-11-24 09:55:27.524527,172.16.1.134,172.16.1.135,tcp,66,172.16.1.134:33887 -> 172.16.1.135:445 tcp Length=66,172.16.1.134_172.16.1.135/tcp/Non-Detect
2023-11-24 09:55:27.524987,172.16.1.135,172.16.1.134,tcp,66,172.16.1.135:445 -> 172.16.1.134:41999 tcp Length=66,172.16.1.135_172.16.1.134/tcp/Non-Detect
2023-11-24 09:55:27.524988,172.16.1.134,172.16.1.135,tcp,66,172.16.1.134:41999 -> 172.16.1.135:445 tcp Length=66,172.16.1.134_172.16.1.135/tcp/Non-Detect
2023-11-24 09:55:27.528407,172.16.1.134,172.16.1.135,smb,139,172.16.1.134:33887 -> 172.16.1.135:445 smb Length=139,172.16.1.134_172.16.1.135/smb/Detect
2023-11-24 09:55:27.530182,172.16.1.135,172.16.1.134,tcp,66,172.16.1.135:445 -> 172.16.1.134:33887 tcp Length=66,172.16.1.135_172.16.1.134/tcp/Non-Detect
2023-11-24 09:55:27.530183,172.16.1.135,172.16.1.134,spnego,272,172.16.1.135:445 -> 172.16.1.134:33887 spnego Length=272,172.16.1.135_172.16.1.134/spnego/Detect
2023-11-24 09:55:27.530184,172.16.1.134,172.16.1.135,tcp,66,172.16.1.134:33887 -> 172.16.1.135:445 tcp Length=66,172.16.1.134_172.16.1.135/tcp/Non-Detect
2023-11-24 09:55:27.548351,172.16.1.134,172.16.1.135,smb2,278,172.16.1.134:33887 -> 172.16.1.135:445 smb2 Length=278,172.16.1.134_172.16.1.135/smb2/Detect
2023-11-24 09:55:27.548866,172.16.1.135,172.16.1.134,spnego,272,172.16.1.135:445 -> 172.16.1.134:33887 spnego Length=272,172.16.1.135_172.16.1.134/spnego/Detect
2023-11-24 09:55:27.556551,172.16.1.134,172.16.1.135,ntlmssp,236,172.16.1.134:33887 -> 172.16.1.135:445 ntlmssp Length=236,172.16.1.134_172.16.1.135/ntlmssp/Detect
